CASE	CORPUS	FILE	MATCHLEMMA	COMPLEMENTIZER	TYPE	L1	REGISTER	L_COMP	L_COMPSUBJ	L_COMPREST	L_MATRV2CC	L_MATRBE4S	L_MATRSUBJ	L_MATRS2V	DPCW	DPWC	SURPRISAL
1735	LINDSEI	SP002	mean	absent	obj	Spanish	spoken	16	2	14	0	0	1	0	0.0354304449	0.1540764145	4.2348294786
1736	ICLE	SPM03014	mean	present	sub	Spanish	written	30	2	28	0	6	2	7	0.0354304449	0.1540764145	4.2348294786
1737	LINDSEI	GE042	mean	absent	obj	German	spoken	6	2	4	0	12	1	0	0.0354304449	0.1540764145	4.2348294786
1738	LINDSEI	SP004	mean	absent	obj	Spanish	spoken	43	2	41	0	0	1	0	0.0354304449	0.1540764145	4.2348294786
1739	LINDSEI	GE037	mean	absent	obj	German	spoken	19	2	17	0	0	1	0	0.0354304449	0.1540764145	4.2348294786
1740	LINDSEI	SP005	mean	absent	obj	Spanish	spoken	75	2	73	0	0	1	0	0.0354304449	0.1540764145	4.2348294786
1741	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	13	2	11	0	0	1	0	0.0354304449	0.1540764145	4.2348294786
1742	LINDSEI	SP008	mean	absent	obj	Spanish	spoken	55	2	53	0	0	1	0	0.0354304449	0.1540764145	4.2348294786
1743	ICLE	GESA3011	mean	present	sub	German	written	41	2	39	0	0	2	0	0.0354304449	0.1540764145	4.2348294786
1744	LINDSEI	GE025	mean	absent	obj	German	spoken	13	2	11	0	0	1	0	0.0354304449	0.1540764145	4.2348294786
1745	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	14	2	12	0	0	1	0	0.0354304449	0.1540764145	4.2348294786
1746	ICE-GB	S1B-039	mean	absent	obj	English	spoken	131	2	129	0	0	1	0	0.0354304449	0.1540764145	4.2348294786
1747	ICE-GB	S1A-075	mean	absent	obj	English	spoken	286	3	283	0	0	1	0	0.0354304449	0.1540764145	8.6966437485
1748	ICE-GB	S1B-026	mean	absent	obj	English	spoken	54	2	52	0	0	1	0	0.0354304449	0.1540764145	12.1560753671
1749	LINDSEI	GE004	mean	absent	obj	German	spoken	61	1	60	0	0	1	0	0.0354304449	0.1540764145	7.7032164024
1750	ICLE	GESA5039	mean	present	obj	German	written	54	3	51	0	0	1	0	0.0354304449	0.1540764145	13.478003462
1751	LINDSEI	GE017	mean	absent	obj	German	spoken	36	10	26	0	0	1	0	0.0354304449	0.1540764145	10.2685500964
1752	ICLE	SPM01016	mean	present	sub	Spanish	written	31	13	18	0	0	2	8	0.0354304449	0.1540764145	13.478003462
1753	ICLE	SPM02002	mean	present	sub	Spanish	written	58	5	53	0	0	4	0	0.0354304449	0.1540764145	12.3080784606
1754	ICLE	SPM04052	mean	present	sub	Spanish	written	45	6	39	0	0	2	8	0.0354304449	0.1540764145	15.478003462
1755	LINDSEI	GE009	mean	absent	obj	German	spoken	39	1	38	0	0	1	0	0.0354304449	0.1540764145	8.2588349416
1756	LINDSEI	GE042	mean	absent	obj	German	spoken	29	6	23	0	0	1	0	0.0354304449	0.1540764145	8.2588349416
1757	LINDSEI	GE024	mean	absent	obj	German	spoken	34	6	28	0	0	1	0	0.0354304449	0.1540764145	10.7231159599
1758	LINDSEI	GE022	mean	absent	obj	German	spoken	86	4	82	0	0	1	0	0.0354304449	0.1540764145	7.478003462
1759	LINDSEI	GE024	mean	absent	obj	German	spoken	36	4	32	0	0	1	0	0.0354304449	0.1540764145	12.8930409613
1760	ICE-GB	S1B-005	mean	absent	obj	English	spoken	80	22	58	0	0	1	0	0.0354304449	0.1540764145	15.478003462
1761	ICE-GB	S1A-079	mean	absent	obj	English	spoken	101	3	98	0	0	1	0	0.0354304449	0.1540764145	10.5238071516
1762	ICE-GB	S1A-005	mean	absent	obj	English	spoken	222	25	197	0	0	1	0	0.0354304449	0.1540764145	8.1742227139
1763	ICE-GB	S1B-045	mean	absent	obj	English	spoken	151	12	139	0	0	1	0	0.0354304449	0.1540764145	11.0185718434
1764	ICE-GB	S1A-070	mean	present	obj	English	spoken	57	16	41	0	0	4	0	0.0354304449	0.1540764145	11.0185718434
1765	ICLE	SPM02006	mean	present	obj	Spanish	written	42	12	30	0	0	1	0	0.0354304449	0.1540764145	10.0517387073
1766	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	32	6	26	0	0	1	0	0.0354304449	0.1540764145	8.7500830075
1767	LINDSEI	GE010	mean	absent	obj	German	spoken	51	6	45	0	0	1	0	0.0354304449	0.1540764145	8.7500830075
1768	ICLE	GESA5037	mean	present	sub	German	written	106	52	54	0	0	4	21	0.0354304449	0.1540764145	8.7500830075
1769	ICE-GB	S1B-034	mean	present	obj	English	spoken	110	6	104	0	0	4	0	0.0354304449	0.1540764145	8.7500830075
1770	LINDSEI	GE009	mean	absent	obj	German	spoken	32	6	26	0	0	1	0	0.0354304449	0.1540764145	8.7500830075
1771	LINDSEI	GE009	mean	absent	obj	German	spoken	91	3	88	0	0	1	0	0.0354304449	0.1540764145	10.67064854
1772	ICE-GB	S2A-035	mean	absent	obj	English	spoken	120	3	117	0	0	1	0	0.0354304449	0.1540764145	6.3257186197
1773	LINDSEI	SP025	mean	absent	obj	Spanish	spoken	24	3	21	0	0	1	0	0.0354304449	0.1540764145	6.3257186197
1774	LINDSEI	SP002	mean	absent	obj	Spanish	spoken	27	3	24	0	0	1	0	0.0354304449	0.1540764145	6.3257186197
1775	LINDSEI	SP025	mean	absent	obj	Spanish	spoken	24	3	21	0	0	1	0	0.0354304449	0.1540764145	6.3257186197
1776	LINDSEI	GE042	mean	absent	obj	German	spoken	21	3	18	0	0	1	0	0.0354304449	0.1540764145	6.3257186197
1777	ICE-GB	W1B-015	mean	present	obj	English	written	34	3	31	0	0	1	0	0.0354304449	0.1540764145	6.3257186197
1778	LINDSEI	GE004	mean	absent	obj	German	spoken	64	3	61	0	0	1	0	0.0354304449	0.1540764145	6.3257186197
1779	ICE-GB	W2F-006	mean	absent	obj	English	written	16	3	13	0	0	1	0	0.0354304449	0.1540764145	6.3257186197
1780	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	43	3	40	0	0	1	0	0.0354304449	0.1540764145	6.3257186197
1781	LINDSEI	GE032	mean	absent	obj	German	spoken	20	3	17	0	4	1	0	0.0354304449	0.1540764145	6.3257186197
1782	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	30	3	27	0	0	1	0	0.0354304449	0.1540764145	6.3257186197
1783	LINDSEI	SP004	mean	absent	obj	Spanish	spoken	36	3	33	0	0	1	0	0.0354304449	0.1540764145	6.3257186197
1784	LINDSEI	GE003	mean	absent	obj	German	spoken	39	3	36	0	0	1	0	0.0354304449	0.1540764145	11.3080784606
1785	ICE-GB	S2B-038	mean	present	obj	English	spoken	34	11	23	0	0	29	0	0.0354304449	0.1540764145	8.455635649
1786	ICE-GB	S1B-005	mean	absent	obj	English	spoken	156	12	144	0	0	1	0	0.0354304449	0.1540764145	8.455635649
1787	LINDSEI	GE036	mean	absent	obj	German	spoken	116	3	113	0	0	1	0	0.0354304449	0.1540764145	10.8341472723
1788	LINDSEI	GE040	mean	absent	obj	German	spoken	36	12	24	0	0	1	0	0.0354304449	0.1540764145	15.478003462
1789	ICE-GB	S1A-017	mean	absent	obj	English	spoken	50	19	31	0	0	1	0	0.0354304449	0.1540764145	3.4257750687
1790	LINDSEI	GE022	mean	absent	obj	German	spoken	23	4	19	0	0	1	0	0.0354304449	0.1540764145	3.4257750687
1791	ICE-GB	S1B-026	mean	absent	obj	English	spoken	65	4	61	0	0	1	0	0.0354304449	0.1540764145	3.4257750687
1792	ICE-GB	S1A-066	mean	absent	obj	English	spoken	86	4	82	0	0	1	0	0.0354304449	0.1540764145	3.4257750687
1793	LINDSEI	GE009	mean	absent	obj	German	spoken	18	4	14	0	0	1	0	0.0354304449	0.1540764145	3.4257750687
1794	LINDSEI	GE040	mean	present	obj	German	spoken	29	2	27	0	0	1	0	0.0354304449	0.1540764145	3.4257750687
1795	ICE-GB	S1A-084	mean	absent	obj	English	spoken	16	4	12	0	0	1	0	0.0354304449	0.1540764145	3.4257750687
1796	ICLE	SPAL1007	mean	present	sub	Spanish	written	102	28	74	0	11	15	0	0.0354304449	0.1540764145	4.7015704296
1797	ICLE	SPM02002	mean	present	sub	Spanish	written	39	25	14	0	8	2	0	0.0354304449	0.1540764145	4.7015704296
1798	ICLE	GEAU3014	mean	present	sub	German	written	51	30	21	0	0	4	0	0.0354304449	0.1540764145	4.7015704296
1799	ICE-GB	S1A-052	mean	absent	obj	English	spoken	28	13	15	0	0	3	0	0.0354304449	0.1540764145	4.7015704296
1800	ICE-GB	S1A-030	mean	absent	obj	English	spoken	104	16	88	0	0	1	0	0.0354304449	0.1540764145	4.7015704296
1801	ICLE	SPM02015	mean	present	sub	Spanish	written	33	11	22	0	0	4	0	0.0354304449	0.1540764145	4.7015704296
1802	ICE-GB	W2A-018	mean	present	obj	English	written	46	17	29	0	0	52	0	0.0354304449	0.1540764145	4.7015704296
1803	ICLE	SPM03017	mean	present	sub	Spanish	written	38	8	30	0	48	2	0	0.0354304449	0.1540764145	4.7015704296
1804	LINDSEI	GE042	mean	absent	obj	German	spoken	59	29	30	0	0	1	0	0.0354304449	0.1540764145	4.7015704296
1805	LINDSEI	GE042	mean	absent	obj	German	spoken	71	10	61	0	0	1	0	0.0354304449	0.1540764145	4.7015704296
1806	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	96	18	78	0	0	1	0	0.0354304449	0.1540764145	4.7015704296
1807	LINDSEI	SP002	mean	absent	obj	Spanish	spoken	43	11	32	0	0	1	0	0.0354304449	0.1540764145	4.7015704296
1808	ICLE	GEBA1027	mean	present	sub	German	written	57	47	10	0	9	4	20	0.0354304449	0.1540764145	4.7015704296
1809	ICE-GB	S1B-039	mean	absent	obj	English	spoken	263	38	225	0	0	1	0	0.0354304449	0.1540764145	4.7015704296
1810	ICLE	SPM09006	mean	absent	sub	Spanish	written	28	8	20	0	0	2	0	0.0354304449	0.1540764145	4.7015704296
1811	ICLE	SPM02009	mean	present	sub	Spanish	written	63	20	43	0	0	4	0	0.0354304449	0.1540764145	4.7015704296
1812	ICLE	GESA4006	mean	present	sub	German	written	37	8	29	0	0	4	11	0.0354304449	0.1540764145	4.7015704296
1813	ICLE	SPM04051	mean	present	sub	Spanish	written	100	14	86	0	0	4	0	0.0354304449	0.1540764145	4.7015704296
1814	ICLE	GEAU3014	mean	present	sub	German	written	93	13	80	0	0	4	0	0.0354304449	0.1540764145	4.7015704296
1815	LINDSEI	GE004	mean	absent	obj	German	spoken	46	25	21	0	0	1	0	0.0354304449	0.1540764145	4.7015704296
1816	LINDSEI	GE022	mean	absent	obj	German	spoken	34	5	29	0	0	1	0	0.0354304449	0.1540764145	5.9702088218
1817	ICLE	GEBA1041	mean	present	sub	German	written	112	5	107	0	49	4	5	0.0354304449	0.1540764145	5.9702088218
1818	ICE-GB	S1B-076	mean	absent	obj	English	spoken	102	5	97	0	0	1	0	0.0354304449	0.1540764145	5.9702088218
1819	ICE-GB	W2F-011	mean	present	obj	English	written	54	5	49	15	0	2	0	0.0354304449	0.1540764145	5.7973355703
1820	LINDSEI	GE042	mean	absent	obj	German	spoken	22	5	17	0	0	1	0	0.0354304449	0.1540764145	5.9702088218
1821	ICE-GB	S1A-066	mean	absent	obj	English	spoken	127	5	122	0	0	1	0	0.0354304449	0.1540764145	5.9702088218
1822	ICE-GB	S1B-062	mean	absent	obj	English	spoken	29	5	24	0	0	3	0	0.0354304449	0.1540764145	5.9702088218
1823	LINDSEI	GE042	mean	absent	obj	German	spoken	26	5	21	0	0	1	0	0.0354304449	0.1540764145	5.9702088218
1824	ICE-GB	S1A-068	mean	absent	obj	English	spoken	58	5	53	0	0	1	0	0.0354304449	0.1540764145	5.9702088218
1825	LINDSEI	GE042	mean	absent	obj	German	spoken	27	5	22	0	0	1	0	0.0354304449	0.1540764145	5.9702088218
1826	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	52	5	47	0	0	1	0	0.0354304449	0.1540764145	5.9702088218
1827	ICE-GB	S1B-014	mean	absent	obj	English	spoken	140	5	135	0	0	1	0	0.0354304449	0.1540764145	5.9702088218
1828	LINDSEI	GE040	mean	absent	obj	German	spoken	32	5	27	0	0	1	0	0.0354304449	0.1540764145	5.9702088218
1829	ICE-GB	S1A-076	mean	absent	obj	English	spoken	78	5	73	0	0	1	0	0.0354304449	0.1540764145	5.9702088218
1830	ICE-GB	W2A-011	mean	present	obj	English	written	95	5	90	0	56	70	0	0.0354304449	0.1540764145	5.9702088218
1831	LINDSEI	GE042	mean	absent	obj	German	spoken	17	5	12	0	0	1	0	0.0354304449	0.1540764145	5.9702088218
1832	ICLE	GEBA1007	mean	present	sub	German	written	37	11	26	0	0	28	0	0.0354304449	0.1540764145	5.9702088218
1833	ICLE	SPM04042	mean	present	sub	Spanish	written	25	5	20	0	0	4	8	0.0354304449	0.1540764145	5.9702088218
1834	ICLE	SPAL1001	mean	present	sub	Spanish	written	58	45	13	0	0	4	0	0.0354304449	0.1540764145	9.7500830075
1835	LINDSEI	GE042	mean	absent	obj	German	spoken	29	12	17	0	0	1	0	0.0354304449	0.1540764145	9.7500830075
1836	ICE-GB	S1A-041	mean	absent	obj	English	spoken	28	4	24	0	0	2	0	0.0354304449	0.1540764145	5.4653789232
1837	ICE-GB	S2B-013	mean	absent	obj	English	spoken	64	4	60	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1838	LINDSEI	GE032	mean	absent	obj	German	spoken	39	4	35	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1839	ICE-GB	S1B-028	mean	present	obj	English	spoken	128	4	124	0	0	4	0	0.0354304449	0.1540764145	5.4653789232
1840	ICLE	SPM09005	mean	present	sub	Spanish	written	44	4	40	0	0	4	0	0.0354304449	0.1540764145	5.4653789232
1841	LINDSEI	GE009	mean	absent	obj	German	spoken	51	4	47	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1842	LINDSEI	GE009	mean	absent	obj	German	spoken	36	4	32	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1843	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	53	4	49	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1844	LINDSEI	SP007	mean	absent	obj	Spanish	spoken	27	4	23	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1845	LINDSEI	GE009	mean	absent	obj	German	spoken	30	4	26	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1846	LINDSEI	GE042	mean	absent	obj	German	spoken	57	4	53	0	9	1	0	0.0354304449	0.1540764145	5.4653789232
1847	LINDSEI	GE009	mean	absent	obj	German	spoken	53	4	49	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1848	ICE-GB	S1B-003	mean	present	obj	English	spoken	46	4	42	0	0	3	0	0.0354304449	0.1540764145	5.4653789232
1849	LINDSEI	GE032	mean	absent	obj	German	spoken	31	4	27	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1850	ICE-GB	S1A-037	mean	absent	obj	English	spoken	62	4	58	0	0	4	4	0.0354304449	0.1540764145	5.4653789232
1851	LINDSEI	GE009	mean	absent	obj	German	spoken	23	4	19	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1852	ICLE	GEAU3012	mean	present	sub	German	written	35	4	31	0	7	4	0	0.0354304449	0.1540764145	5.4653789232
1853	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	50	4	46	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1854	LINDSEI	SP002	mean	absent	obj	Spanish	spoken	18	4	14	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1855	LINDSEI	SP004	mean	absent	obj	Spanish	spoken	14	4	10	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1856	LINDSEI	GE009	mean	absent	obj	German	spoken	16	4	12	0	0	1	0	0.0354304449	0.1540764145	5.4653789232
1857	ICLE	SPM08007	mean	absent	sub	Spanish	written	81	4	77	0	0	4	0	0.0354304449	0.1540764145	5.4653789232
1858	ICE-GB	S1B-012	mean	absent	obj	English	spoken	97	4	93	0	8	1	0	0.0354304449	0.1540764145	7.364261296
1859	ICLE	GEDR1008	mean	present	sub	German	written	36	11	25	0	0	5	11	0.0354304449	0.1540764145	7.364261296
1860	LINDSEI	GE026	mean	absent	obj	German	spoken	7	4	3	0	0	1	0	0.0354304449	0.1540764145	7.364261296
1861	LINDSEI	GE040	mean	absent	obj	German	spoken	18	9	9	0	0	1	0	0.0354304449	0.1540764145	7.364261296
1862	ICE-GB	S1A-080	mean	present	obj	English	spoken	89	4	85	0	0	1	0	0.0354304449	0.1540764145	7.364261296
1863	ICE-GB	S1A-047	mean	absent	obj	English	spoken	76	4	72	0	0	1	0	0.0354304449	0.1540764145	7.364261296
1864	ICE-GB	S2A-045	mean	present	obj	English	spoken	295	2	293	0	0	137	0	0.0354304449	0.1540764145	5.4570235231
1865	ICE-GB	S2B-006	mean	absent	obj	English	spoken	44	2	42	0	0	1	0	0.0354304449	0.1540764145	5.4570235231
1866	ICLE	SPM02002	mean	present	sub	Spanish	written	46	2	44	0	0	4	0	0.0354304449	0.1540764145	5.4570235231
1867	LINDSEI	SP025	mean	absent	obj	Spanish	spoken	10	2	8	0	0	1	0	0.0354304449	0.1540764145	5.4570235231
1868	ICLE	GEAU3018	mean	present	sub	German	written	40	2	38	0	0	4	0	0.0354304449	0.1540764145	5.4570235231
1869	ICE-GB	S1B-053	mean	present	obj	English	spoken	149	2	147	0	8	2	0	0.0354304449	0.1540764145	5.4570235231
1870	ICE-GB	S1B-078	mean	absent	obj	English	spoken	24	2	22	0	0	1	0	0.0354304449	0.1540764145	5.4570235231
1871	ICE-GB	S1B-036	mean	absent	obj	English	spoken	86	2	84	0	0	1	0	0.0354304449	0.1540764145	5.4570235231
1872	ICLE	SPM01012	mean	present	sub	Spanish	written	20	2	18	0	0	25	0	0.0354304449	0.1540764145	5.4570235231
1873	LINDSEI	SP008	mean	absent	obj	Spanish	spoken	34	2	32	0	0	1	0	0.0354304449	0.1540764145	5.4570235231
1874	ICLE	SPM07013	mean	absent	sub	Spanish	written	24	2	22	0	0	4	0	0.0354304449	0.1540764145	5.4570235231
1875	LINDSEI	GE045	mean	absent	obj	German	spoken	48	2	46	0	0	1	0	0.0354304449	0.1540764145	5.4570235231
1876	ICLE	GEDR1024	mean	present	sub	German	written	55	2	53	0	0	4	0	0.0354304449	0.1540764145	5.4570235231
1877	ICE-GB	S2B-002	mean	present	obj	English	spoken	48	2	46	0	0	23	11	0.0354304449	0.1540764145	5.4570235231
1878	LINDSEI	GE030	mean	absent	obj	German	spoken	27	2	25	0	0	1	0	0.0354304449	0.1540764145	5.4570235231
1879	ICE-GB	S1A-068	mean	present	sub	English	spoken	40	2	38	0	0	56	0	0.0354304449	0.1540764145	5.4570235231
1880	ICE-GB	S1B-072	mean	absent	obj	English	spoken	75	1	74	0	0	1	0	0.0354304449	0.1540764145	8.8930409613
1881	ICLE	GESA3001	mean	present	sub	German	written	47	5	42	0	0	4	11	0.0354304449	0.1540764145	12.3080784606
1882	LINDSEI	GE042	mean	absent	obj	German	spoken	14	3	11	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1883	ICE-GB	S1A-096	mean	absent	obj	English	spoken	103	3	100	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1884	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	37	3	34	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1885	ICE-GB	S1A-045	mean	absent	obj	English	spoken	45	3	42	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1886	ICE-GB	S1B-073	mean	absent	obj	English	spoken	68	3	65	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1887	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	16	3	13	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1888	ICE-GB	S1B-021	mean	absent	obj	English	spoken	69	3	66	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1889	LINDSEI	GE042	mean	absent	obj	German	spoken	29	3	26	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1890	LINDSEI	SP004	mean	absent	obj	Spanish	spoken	18	3	15	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1891	LINDSEI	GE036	mean	absent	obj	German	spoken	45	3	42	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1892	LINDSEI	GE009	mean	absent	obj	German	spoken	46	3	43	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1893	ICE-GB	S1A-054	mean	absent	obj	English	spoken	120	3	117	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1894	ICE-GB	S1B-020	mean	present	obj	English	spoken	126	3	123	0	0	5	0	0.0354304449	0.1540764145	4.5201759012
1895	ICE-GB	S1A-013	mean	absent	obj	English	spoken	43	3	40	0	0	3	0	0.0354304449	0.1540764145	4.5201759012
1896	LINDSEI	SP022	mean	absent	obj	Spanish	spoken	57	3	54	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1897	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	27	3	24	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1898	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	39	3	36	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1899	LINDSEI	GE004	mean	absent	obj	German	spoken	20	3	17	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1900	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	8	3	5	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1901	ICLE	GEBA1052	mean	present	sub	German	written	57	3	54	0	16	10	0	0.0354304449	0.1540764145	4.5201759012
1902	LINDSEI	GE011	mean	absent	obj	German	spoken	27	3	24	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1903	LINDSEI	SP002	mean	absent	obj	Spanish	spoken	35	3	32	0	9	1	0	0.0354304449	0.1540764145	4.5201759012
1904	ICE-GB	S1B-040	mean	absent	obj	English	spoken	48	3	45	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1905	LINDSEI	GE040	mean	absent	obj	German	spoken	79	3	76	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1906	LINDSEI	GE026	mean	absent	obj	German	spoken	29	3	26	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1907	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	47	3	44	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1908	ICLE	SPM07002	mean	present	sub	Spanish	written	66	3	63	0	0	4	0	0.0354304449	0.1540764145	4.5201759012
1909	ICE-GB	S1B-049	mean	absent	obj	English	spoken	68	3	65	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1910	ICE-GB	S1A-017	mean	absent	obj	English	spoken	31	3	28	0	0	3	0	0.0354304449	0.1540764145	4.5201759012
1911	LINDSEI	GE005	mean	absent	obj	German	spoken	21	3	18	0	0	2	6	0.0354304449	0.1540764145	4.5201759012
1912	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	31	3	28	0	0	1	0	0.0354304449	0.1540764145	4.5201759012
1913	ICE-GB	S1A-062	mean	absent	obj	English	spoken	54	4	50	0	4	4	0	0.0354304449	0.1540764145	2.4870975529
1914	ICE-GB	W2D-005	mean	present	obj	English	written	144	35	109	0	0	4	0	0.0354304449	0.1540764145	4.7067832285
1915	ICE-GB	S2A-016	mean	present	obj	English	spoken	129	16	113	0	0	5	0	0.0354304449	0.1540764145	4.7067832285
1916	ICE-GB	S2A-054	mean	absent	obj	English	spoken	34	8	26	0	0	4	0	0.0354304449	0.1540764145	4.7067832285
1917	ICE-GB	S1A-001	mean	present	obj	English	spoken	44	20	24	0	0	5	0	0.0354304449	0.1540764145	4.7067832285
1918	ICE-GB	S1B-044	mean	present	obj	English	spoken	102	57	45	0	0	4	0	0.0354304449	0.1540764145	4.7067832285
1919	ICE-GB	S1A-018	mean	present	obj	English	spoken	76	36	40	0	4	2	0	0.0354304449	0.1540764145	4.7067832285
1920	ICE-GB	W2E-008	mean	present	obj	English	written	72	21	51	0	0	3	0	0.0354304449	0.1540764145	4.7067832285
1921	ICLE	GESA2003	mean	present	sub	German	written	138	33	105	0	0	13	20	0.0354304449	0.1540764145	4.7067832285
1922	ICE-GB	W2B-017	mean	present	obj	English	written	165	17	148	0	0	4	0	0.0354304449	0.1540764145	4.7067832285
1923	ICLE	GEAU1095	mean	present	sub	German	written	26	11	15	0	0	2	6	0.0354304449	0.1540764145	4.7067832285
1924	ICE-GB	S1A-009	mean	present	obj	English	spoken	37	22	15	0	0	2	4	0.0354304449	0.1540764145	4.7067832285
1925	ICE-GB	S2A-029	mean	present	obj	English	spoken	106	24	82	0	0	5	0	0.0354304449	0.1540764145	4.7067832285
1926	ICE-GB	W2B-029	mean	present	obj	English	written	65	9	56	0	0	4	0	0.0354304449	0.1540764145	4.7067832285
1927	ICE-GB	S1B-009	mean	present	obj	English	spoken	48	8	40	0	0	4	0	0.0354304449	0.1540764145	4.7067832285
1928	ICLE	GEAU1046	mean	present	sub	German	written	27	11	16	0	0	15	0	0.0354304449	0.1540764145	4.7067832285
1929	ICE-GB	W2D-015	mean	present	obj	English	written	46	24	22	0	0	5	0	0.0354304449	0.1540764145	4.7067832285
1930	ICE-GB	W2D-014	mean	present	obj	English	written	102	17	85	0	0	5	0	0.0354304449	0.1540764145	4.7067832285
1931	ICE-GB	W2A-016	mean	present	obj	English	written	105	12	93	0	0	4	0	0.0354304449	0.1540764145	4.7067832285
1932	ICE-GB	W2C-001	mean	present	obj	English	written	90	28	62	0	0	50	0	0.0354304449	0.1540764145	4.7067832285
1933	ICE-GB	W2A-004	mean	present	obj	English	written	108	8	100	0	0	39	0	0.0354304449	0.1540764145	4.7067832285
1934	ICE-GB	W2E-002	mean	absent	obj	English	written	125	24	101	0	0	2	0	0.0354304449	0.1540764145	4.7067832285
1935	ICE-GB	W2D-005	mean	present	obj	English	written	151	34	117	0	0	4	0	0.0354304449	0.1540764145	4.7067832285
1936	ICE-GB	S1B-004	mean	present	obj	English	spoken	68	18	50	0	0	2	0	0.0354304449	0.1540764145	4.7067832285
1937	ICE-GB	S2B-014	mean	absent	obj	English	spoken	87	5	82	0	0	24	0	0.0354304449	0.1540764145	7.7437598763
1938	ICE-GB	W2A-021	mean	present	obj	English	written	65	5	60	0	0	4	0	0.0354304449	0.1540764145	7.7437598763
1939	ICE-GB	S2A-028	mean	absent	obj	English	spoken	55	5	50	0	0	5	0	0.0354304449	0.1540764145	7.7437598763
1940	ICLE	GEAU3052	mean	present	sub	German	written	192	5	187	0	3	4	0	0.0354304449	0.1540764145	7.7437598763
1941	ICE-GB	W1B-016	mean	present	obj	English	written	54	5	49	0	0	4	0	0.0354304449	0.1540764145	7.7437598763
1942	ICE-GB	S1A-023	mean	present	obj	English	spoken	48	4	44	0	0	4	0	0.0354304449	0.1540764145	6.72173357
1943	ICE-GB	S1B-028	mean	present	obj	English	spoken	214	4	210	0	0	4	0	0.0354304449	0.1540764145	6.72173357
1944	ICE-GB	S1B-030	mean	absent	obj	English	spoken	66	4	62	0	0	4	0	0.0354304449	0.1540764145	6.72173357
1945	ICE-GB	S1A-037	mean	present	obj	English	spoken	29	4	25	0	0	2	4	0.0354304449	0.1540764145	6.72173357
1946	ICE-GB	S2A-016	mean	absent	obj	English	spoken	253	4	249	0	0	5	0	0.0354304449	0.1540764145	6.72173357
1947	ICE-GB	S1A-070	mean	absent	obj	English	spoken	37	4	33	0	0	4	0	0.0354304449	0.1540764145	6.72173357
1948	ICE-GB	S1A-062	mean	present	obj	English	spoken	11	4	7	0	0	4	0	0.0354304449	0.1540764145	6.72173357
