CASE	DURATION	POSINTURN	SEX	CLASS	LENGTH	VOWELS	SURPRISAL	FREQ
1565	113	2	male	closed	1	one	2	17
1566	95	3	male	closed	2	two+	7	16
1567	103	4	male	closed	2	two+	1	18
1568	541	5	male	open	6	one	8	12
1569	148	6	male	closed	2	two+	6	18
1570	304	7	male	open	3	two+	9	10
1571	454	8	male	open	6	two+	5	12
1572	196	9	male	closed	3	one	12	13
1573	486	10	male	open	4	two+	8	9
1574	111	2	male	closed	2	two+	11	16
1575	142	3	male	closed	3	one	6	13
1576	171	5	male	open	3	one	11	14
1577	233	8	male	closed	2	one	7	16
1578	112	9	male	closed	2	one	2	18
1579	640	10	male	open	10	two+	15	5
1580	148	1	male	closed	2	two+	7	15
1581	176	2	male	closed	3	one	5	15
1582	310	5	male	open	4	one	13	6
1583	130	6	male	closed	2	two+	6	15
1584	105	8	male	closed	3	two+	7	15
1585	92	9	male	closed	2	one	1	16
1586	209	1	male	closed	2	one	7	15
1587	141	2	male	open	3	one	10	9
1588	173	3	male	closed	2	one	2	18
1589	340	4	male	number	4	one	6	13
1590	148	5	male	closed	2	one	9	15
1591	185	7	male	closed	3	one	7	16
1592	211	8	male	closed	3	one	5	15
1593	181	9	male	closed	2	one	5	15
1594	184	2	female	closed	2	one	8	15
1595	152	3	female	closed	2	one	2	18
1596	392	4	female	open	5	two+	18	5
1597	304	5	female	open	4	two+	3	13
1598	169	6	female	closed	2	one	6	16
1599	409	7	female	open	3	one	11	10
1600	152	9	female	closed	2	one	1	17
1601	525	10	female	open	7	two+	15	7
1602	414	1	male	open	2	two+	7	15
1603	439	2	male	unclear	3	one	6	15
1604	153	3	male	closed	2	two+	5	18
1605	409	5	male	open	7	one	13	9
1606	103	6	male	closed	3	one	4	17
1607	181	8	male	closed	2	one	2	15
1608	106	9	male	closed	2	one	4	18
1609	326	10	male	open	3	two+	8	11
1610	177	1	female	open	2	two+	7	15
1611	114	2	female	closed	2	one	4	17
1612	209	4	female	closed	2	one	1	15
1613	362	5	female	open	3	two+	10	15
1614	126	6	female	closed	2	two+	4	16
1615	202	7	female	closed	3	one	7	13
1616	228	8	female	closed	3	two+	3	16
1617	372	9	female	open	4	two+	14	6
1618	317	10	female	closed	2	one	2	17
1619	439	1	female	open	2	two+	7	15
1620	241	2	female	open	3	one	9	15
1621	91	3	female	closed	1	one	5	18
1622	105	4	female	closed	1	one	4	14
1623	246	5	female	open	3	two+	11	7
1624	244	6	female	closed	3	one	3	14
1625	247	7	female	open	3	two+	7	15
1626	112	8	female	closed	2	two+	8	16
1627	129	9	female	closed	2	one	6	13
1628	357	10	female	open	4	one	11	9
1629	293	2	male	closed	2	one	5	15
1630	141	3	male	closed	3	two+	5	13
1631	83	4	male	closed	2	two+	1	16
1632	191	5	male	open	3	two+	5	15
1633	89	6	male	closed	2	two+	3	18
1634	166	8	male	closed	2	one	5	18
1635	191	10	male	open	2	two+	4	13
1636	162	1	male	open	2	two+	7	15
1637	194	2	male	closed	4	one	10	12
1638	136	3	male	closed	2	one	5	15
1639	50	4	male	closed	1	one	5	14
1640	181	5	male	open	3	two+	3	15
1641	98	7	male	closed	1	one	8	18
1642	62	8	male	closed	2	two+	3	16
1643	100	9	male	closed	2	two+	1	16
1644	259	10	male	open	2	two+	3	15
1645	164	1	female	number	3	one	10	12
1646	243	2	female	open	3	two+	7	10
1647	62	4	female	closed	1	one	4	15
1648	140	5	female	open	3	two+	1	15
1649	332	7	female	open	7	two+	17	3
1650	173	9	female	number	3	two+	7	12
1651	270	10	female	open	3	two+	7	10
1652	38	2	male	closed	1	one	2	17
1653	247	4	male	open	3	two+	7	12
1654	318	5	male	open	4	two+	10	10
1655	79	6	male	closed	2	two+	6	16
1656	686	7	male	open	9	two+	16	7
1657	87	8	male	closed	2	one	5	17
1658	105	10	male	closed	2	two+	1	17
1659	169	1	female	closed	3	one	5	17
1660	67	2	female	closed	1	one	2	17
1661	276	3	female	open	3	two+	8	13
1662	267	4	female	open	3	two+	5	15
1663	103	5	female	closed	1	one	3	18
1664	81	6	female	closed	2	one	8	12
1665	160	8	female	open	3	one	14	6
1666	150	9	female	closed	2	two+	4	17
1667	184	10	female	closed	2	one	6	15
1668	121	1	male	closed	3	one	5	17
1669	94	2	male	closed	1	one	2	17
1670	164	3	male	closed	3	one	5	17
1671	409	4	male	open	2	one	11	11
1672	118	5	male	closed	3	two+	6	17
1673	172	6	male	closed	3	two+	4	16
1674	473	7	male	open	5	two+	14	6
1675	264	8	male	closed	2	one	2	15
1676	149	9	male	closed	2	two+	6	18
1677	128	1	male	closed	3	one	5	17
1678	59	2	male	closed	1	one	2	17
1679	124	3	male	closed	2	one	4	18
1680	123	4	male	closed	3	one	7	15
1681	117	5	male	closed	1	one	6	18
1682	403	7	male	open	8	two+	9	9
1683	160	8	male	closed	1	one	7	15
1684	121	9	male	closed	2	two+	3	16
1685	212	10	male	closed	2	two+	5	16
1686	118	1	female	closed	3	two+	5	17
1687	121	3	female	closed	3	one	5	16
1688	67	4	female	closed	2	two+	5	17
1689	318	7	female	open	3	two+	3	14
1690	150	8	female	closed	3	two+	7	16
1691	102	9	female	closed	2	one	4	16
1692	206	10	female	closed	2	one	3	17
1693	87	2	male	closed	1	one	2	17
1694	48	4	male	closed	1	one	3	18
1695	34	5	male	closed	1	one	4	15
1696	82	6	male	open	3	two+	1	15
1697	167	9	male	closed	3	one	6	15
1698	215	10	male	closed	3	one	4	15
1699	310	1	male	closed	3	one	5	17
1700	44	2	male	closed	1	one	2	17
1701	127	3	male	closed	2	two+	7	13
1702	136	4	male	closed	1	one	3	18
1703	271	5	male	open	3	two+	10	11
1704	99	6	male	closed	2	one	6	18
1705	156	8	male	closed	2	one	3	18
1706	176	9	male	closed	3	one	6	15
1707	174	1	female	closed	3	one	5	17
1708	151	3	female	closed	1	one	4	18
1709	216	4	female	open	3	two+	6	15
1710	149	5	female	closed	2	one	7	18
1711	140	6	female	open	2	two+	3	15
1712	127	7	female	closed	2	one	4	18
1713	163	9	female	open	3	two+	0	12
1714	126	10	female	closed	2	one	4	17
1715	112	1	male	closed	3	one	5	17
1716	124	2	male	closed	3	two+	4	16
1717	117	4	male	open	3	two+	10	10
1718	73	6	male	closed	1	one	5	17
1719	212	7	male	open	4	two+	11	8
1720	170	8	male	closed	3	one	5	14
1721	310	10	male	propname	5	one	11	7
1722	189	1	male	closed	3	one	5	17
1723	192	2	male	closed	3	one	4	16
1724	186	3	male	open	4	one	6	13
1725	73	4	male	closed	1	one	2	17
1726	167	5	male	open	3	two+	5	14
1727	392	7	male	open	6	two+	8	13
1728	102	8	male	closed	2	two+	6	17
1729	144	9	male	closed	2	two+	2	18
1730	431	10	male	open	3	one	6	12
1731	140	1	female	closed	2	two+	4	18
1732	238	2	female	propname	4	one	16	6
1733	340	3	female	open	6	two+	6	9
1734	94	4	female	open	3	two+	9	15
1735	99	6	female	open	3	two+	4	13
1736	123	7	female	closed	2	two+	5	17
1737	381	8	female	open	4	two+	10	10
1738	141	9	female	closed	2	one	5	16
1739	218	10	female	open	4	two+	13	14
1740	560	2	female	propname	5	one	15	7
1741	80	4	female	closed	2	two+	6	16
1742	45	5	female	closed	2	two+	1	16
1743	170	6	female	open	3	two+	8	10
1744	116	7	female	closed	2	one	0	17
1745	294	8	female	open	4	two+	11	13
1746	168	9	female	open	4	two+	9	14
1747	189	10	female	open	3	two+	6	12
1748	103	1	male	closed	2	two+	4	18
1749	182	2	male	open	4	two+	7	13
1750	131	3	male	open	3	two+	4	13
1751	166	4	male	closed	2	one	3	16
1752	650	5	male	closed	1	one	6	18
1753	147	6	male	closed	3	one	5	15
1754	289	7	male	open	5	two+	11	10
1755	330	8	male	closed	4	one	3	12
1756	289	9	male	closed	2	one	4	18
1757	319	10	male	number	2	one	8	14
1758	184	2	female	open	3	two+	8	13
1759	76	3	female	closed	2	one	3	16
1760	444	4	female	open	7	two+	12	10
1761	137	5	female	closed	2	one	2	17
1762	353	6	female	open	3	two+	7	13
1763	144	7	female	closed	2	two+	6	18
1764	235	9	female	open	3	two+	14	10
1765	410	10	female	open	4	two+	6	11
1766	361	3	female	open	4	two+	7	11
1767	358	4	female	closed	5	one	10	11
1768	304	5	female	closed	6	one	11	11
1769	276	6	female	number	4	two+	8	12
1770	189	8	female	closed	3	one	4	17
1771	367	10	female	number	3	two+	2	13
1772	102	1	male	closed	2	one	4	18
1773	249	2	male	open	3	two+	10	10
1774	282	3	male	open	4	two+	2	14
1775	325	4	male	open	5	one	11	8
1776	302	5	male	open	4	two+	4	12
1777	162	6	male	closed	3	one	8	16
1778	84	7	male	closed	2	one	3	16
1779	269	8	male	closed	3	one	7	14
1780	293	9	male	open	4	two+	8	12
1781	304	10	male	closed	2	one	4	13
1782	195	1	male	closed	2	one	7	16
1783	180	2	male	closed	1	one	4	15
1784	153	3	male	closed	2	one	3	16
1785	188	4	male	closed	3	two+	9	13
1786	161	5	male	open	3	two+	9	12
1787	369	6	male	open	5	two+	12	9
1788	142	7	male	open	3	two+	9	11
1789	169	8	male	open	2	two+	7	12
1790	178	9	male	closed	1	one	6	15
1791	210	10	male	closed	2	one	6	16
1792	140	1	male	closed	2	two+	7	16
1793	125	2	male	closed	2	one	3	16
1794	123	3	male	closed	2	two+	3	16
1795	204	4	male	closed	3	two+	9	13
1796	60	6	male	closed	2	one	8	17
1797	239	7	male	closed	3	one	3	16
1798	265	8	male	open	3	two+	8	15
1799	434	9	male	closed	6	one	11	9
1800	278	10	male	closed	2	one	6	14
1801	158	1	female	closed	2	one	7	16
1802	158	2	female	closed	2	one	3	16
1803	322	3	female	closed	2	one	7	15
1804	790	4	female	open	10	two+	13	7
1805	778	5	female	open	9	two+	5	5
1806	395	8	female	open	4	two+	9	11
1807	689	9	female	open	8	two+	11	6
1808	174	10	female	closed	2	two+	3	17
1809	98	1	female	closed	2	two+	7	16
1810	92	3	female	closed	1	one	3	17
1811	214	4	female	open	3	two+	8	10
1812	136	5	female	closed	2	one	6	16
1813	137	6	female	closed	2	two+	1	18
1814	551	7	female	open	9	two+	10	9
1815	236	9	female	open	3	two+	5	13
1816	308	10	female	open	2	two+	4	12
1817	182	4	female	closed	2	one	3	17
1818	137	5	female	open	3	one	7	12
1819	178	6	female	closed	2	one	4	18
1820	314	7	female	open	4	two+	16	4
1821	162	8	female	closed	2	one	4	17
1822	70	9	female	closed	2	two+	6	12
1823	210	10	female	closed	2	one	1	17
1824	94	1	male	closed	2	one	6	16
1825	57	2	male	closed	2	one	4	16
1826	80	3	male	closed	2	one	1	16
1827	217	4	male	open	4	two+	11	8
1828	75	5	male	closed	2	one	3	17
1829	262	6	male	closed	5	two+	13	12
1830	88	7	male	closed	2	two+	9	15
1831	76	8	male	closed	2	one	3	16
1832	66	9	male	closed	1	one	2	15
1833	547	10	male	open	8	two+	15	3
1834	157	1	female	closed	2	two+	6	16
1835	145	2	female	closed	2	two+	4	16
1836	270	3	female	open	2	two+	10	14
1837	206	6	female	closed	3	one	5	17
1838	205	7	female	closed	2	one	4	18
1839	318	8	female	unclear	1	one	6	16
1840	66	9	female	closed	2	one	5	17
1841	119	10	female	closed	1	one	1	17
1842	110	1	female	closed	2	two+	6	16
1843	90	3	female	closed	1	one	3	17
1844	148	4	female	closed	1	one	5	17
1845	315	5	female	open	3	two+	11	11
1846	104	6	female	closed	2	one	4	17
1847	357	7	female	propname	4	one	15	3
1848	140	8	female	closed	2	one	3	16
1849	83	9	female	closed	2	two+	1	16
1850	192	1	female	closed	3	one	9	13
1851	150	2	female	closed	3	one	6	15
1852	250	3	female	open	4	two+	13	15
1853	71	4	female	closed	1	one	3	18
1854	310	5	female	closed	3	two+	4	16
1855	49	7	female	closed	2	one	7	16
1856	210	10	female	closed	3	two+	3	16
1857	127	1	male	closed	2	two+	6	16
1858	134	2	male	closed	2	two+	3	14
1859	144	3	male	closed	2	two+	6	16
1860	255	4	male	closed	2	one	1	18
1861	258	5	male	unclear	3	one	7	15
1862	114	6	male	closed	2	one	4	18
1863	255	7	male	open	3	one	8	10
1864	233	8	male	closed	3	one	6	15
1865	135	9	male	closed	2	one	7	16
1866	400	10	male	open	3	two+	8	12
1867	387	3	female	open	6	two+	12	7
1868	450	4	female	closed	8	one	7	11
1869	106	6	female	closed	3	two+	4	16
1870	178	7	female	open	4	two+	5	14
1871	55	8	female	closed	2	two+	0	17
1872	333	9	female	open	5	two+	13	10
1873	214	10	female	closed	5	one	9	11
1874	276	2	female	closed	1	one	5	15
1875	496	3	female	open	4	two+	14	4
1876	270	4	female	closed	3	one	2	15
1877	320	5	female	open	3	two+	11	10
1878	173	6	female	closed	1	one	6	15
1879	432	7	female	open	4	two+	12	9
1880	602	8	female	open	5	two+	7	8
1881	328	9	female	number	4	one	8	13
1882	527	10	female	open	4	one	13	10
1883	201	1	female	open	5	two+	11	11
1884	123	2	female	closed	2	one	0	17
1885	280	3	female	open	4	one	7	15
1886	254	4	female	closed	3	one	6	16
1887	175	5	female	closed	2	one	7	17
1888	304	7	female	closed	3	one	6	14
1889	152	8	female	closed	2	one	8	14
1890	899	9	female	open	10	two+	11	9
1891	294	10	female	open	2	two+	8	14
1892	94	2	male	closed	1	one	2	17
1893	246	3	male	open	5	one	7	11
1894	72	4	male	closed	3	one	8	10
1895	101	5	male	closed	1	one	3	18
1896	227	6	male	open	3	two+	13	11
1897	90	7	male	closed	2	one	6	16
1898	57	8	male	closed	2	one	1	18
1899	187	9	male	open	3	two+	5	13
1900	408	10	male	open	3	two+	12	10
1901	160	3	female	open	3	one	6	13
1902	473	5	female	open	10	two+	7	8
1903	135	7	female	open	3	two+	6	14
1904	103	9	female	closed	3	two+	8	15
1905	489	10	female	open	7	two+	6	10
1906	78	1	male	closed	2	one	6	16
1907	40	2	male	closed	1	one	3	15
1908	486	4	male	open	9	one	14	7
1909	367	5	male	open	5	two+	7	8
1910	97	7	male	closed	2	one	6	17
1911	111	9	male	closed	2	one	2	18
1912	471	10	male	open	5	two+	12	12
1913	109	1	female	closed	2	two+	6	16
1914	259	3	female	open	3	two+	1	15
1915	342	4	female	closed	2	one	3	17
1916	222	5	female	unclear	1	one	6	16
1917	152	6	female	open	3	two+	13	10
1918	347	7	female	propname	6	two+	10	7
1919	42	8	female	closed	3	one	3	17
1920	282	9	female	propname	5	one	16	4
1921	195	10	female	closed	2	one	4	15
1922	178	1	female	closed	2	two+	6	16
1923	199	3	female	closed	2	one	1	16
1924	40	4	female	closed	1	one	5	18
1925	92	5	female	closed	1	one	3	14
1926	135	6	female	open	4	two+	4	15
1927	317	7	female	open	5	one	10	10
1928	108	9	female	closed	3	two+	8	13
1929	109	10	female	closed	2	one	3	16
1930	139	2	female	open	4	one	7	15
1931	252	3	female	open	3	two+	8	13
1932	289	4	female	number	3	one	6	15
1933	336	5	female	closed	2	two+	8	14
1934	248	6	female	open	2	two+	13	8
1935	140	8	female	closed	2	one	9	16
1936	181	9	female	closed	2	two+	1	16
1937	268	10	female	closed	2	one	6	16
1938	203	1	female	closed	2	one	6	16
1939	467	2	female	open	3	two+	6	13
1940	195	3	female	closed	1	one	3	17
1941	517	4	female	open	3	two+	9	15
1942	162	6	female	open	3	one	11	12
1943	133	7	female	closed	2	two+	2	14
1944	178	8	female	closed	3	one	7	14
1945	71	9	female	closed	2	one	4	17
1946	132	10	female	closed	1	one	1	17
1947	251	1	female	open	3	two+	7	15
1948	207	2	female	closed	3	two+	6	15
1949	102	3	female	closed	2	one	7	18
1950	151	4	female	open	2	two+	3	15
1951	53	5	female	closed	2	one	5	16
1952	47	6	female	closed	1	one	3	15
1953	84	7	female	closed	2	two+	6	16
1954	232	8	female	closed	4	one	7	15
1955	103	9	female	closed	3	two+	5	15
1956	388	10	female	open	4	two+	9	12
1957	194	1	male	open	3	one	7	15
1958	124	2	male	closed	3	one	10	14
1959	138	4	male	open	3	two+	8	14
1960	81	5	male	closed	3	one	4	17
1961	197	6	male	open	3	two+	10	11
1962	101	7	male	closed	2	one	3	16
1963	120	8	male	closed	2	one	5	14
1964	330	9	male	open	4	one	10	6
1965	225	10	male	open	3	two+	6	15
1966	221	1	male	open	3	two+	7	15
1967	84	3	male	closed	2	two+	5	18
1968	141	4	male	open	2	two+	3	15
1969	153	6	male	open	3	two+	15	5
1970	93	8	male	closed	2	two+	8	16
1971	68	9	male	closed	2	one	1	16
1972	153	10	male	closed	2	two+	4	18
1973	73	1	female	open	3	two+	7	15
1974	98	2	female	closed	1	one	2	18
1975	95	3	female	closed	3	one	5	15
1976	165	4	female	open	5	two+	7	12
1977	293	5	female	open	3	two+	10	10
1978	189	6	female	propname	3	one	10	8
1979	256	7	female	closed	3	one	3	17
1980	457	9	female	open	6	one	15	7
1981	273	10	female	closed	3	one	1	17
1982	167	1	male	open	3	two+	7	15
1983	103	2	male	closed	1	one	2	18
1984	146	3	male	closed	3	one	5	15
1985	252	4	male	open	3	two+	6	13
1986	134	5	male	closed	2	one	5	18
1987	563	7	male	propname	6	two+	15	9
1988	81	9	male	closed	2	one	0	16
1989	110	1	female	open	3	two+	7	15
1990	164	2	female	closed	1	one	2	18
1991	57	3	female	closed	3	one	5	15
1992	97	4	female	closed	2	one	1	16
1993	163	5	female	open	3	two+	14	11
1994	164	6	female	closed	2	two+	5	17
1995	121	7	female	closed	2	one	7	15
1996	84	8	female	closed	2	two+	2	18
1997	152	10	female	closed	3	one	8	13
1998	52	2	male	closed	1	one	2	18
1999	68	3	male	closed	2	one	3	16
2000	48	4	male	closed	2	one	1	16
2001	112	5	male	open	4	one	4	15
2002	69	6	male	closed	2	two+	2	17
2003	231	7	male	open	6	one	9	13
2004	199	8	male	open	4	two+	12	10
2005	399	9	male	open	5	two+	10	7
2006	453	10	male	closed	4	one	4	15
2007	357	1	male	open	3	two+	7	15
2008	105	3	male	closed	3	one	5	16
2009	203	5	male	closed	3	one	5	16
2010	427	6	male	closed	6	one	8	13
2011	95	7	male	closed	2	one	4	17
2012	138	8	male	closed	2	one	4	16
2013	113	9	male	closed	2	two+	11	14
2014	568	10	male	closed	6	one	8	10
2015	216	1	male	open	3	two+	7	15
2016	134	2	male	closed	1	one	2	18
2017	194	3	male	open	4	two+	3	15
2018	134	4	male	closed	2	one	2	17
2019	80	5	male	closed	1	one	1	17
2020	185	6	male	closed	1	one	8	18
2021	239	7	male	open	4	two+	3	15
2022	173	8	male	closed	2	one	2	17
2023	95	9	male	closed	1	one	1	17
2024	653	10	male	open	6	two+	10	9
2025	277	1	male	open	3	two+	7	15
2026	176	3	male	closed	3	one	4	16
2027	202	4	male	open	4	two+	5	14
2028	268	5	male	closed	2	one	0	17
2029	196	6	male	closed	3	one	10	16
2030	134	7	male	closed	2	one	4	18
2031	115	8	male	open	2	two+	3	15
2032	100	9	male	closed	2	one	8	14
2033	636	10	male	open	6	two+	11	6
2034	195	1	female	open	3	two+	7	15
2035	166	3	female	closed	3	one	5	15
2036	163	4	female	open	3	two+	8	10
2037	98	5	female	closed	2	one	3	18
2038	37	6	female	closed	1	one	6	14
2039	189	7	female	closed	2	two+	6	16
2040	207	8	female	closed	3	one	4	17
2041	58	9	female	closed	3	one	8	15
2042	293	10	female	closed	3	one	11	9
2043	305	1	male	open	3	two+	7	15
2044	244	2	male	closed	3	one	10	14
2045	188	6	male	open	5	two+	11	9
2046	351	7	male	open	5	two+	2	9
2047	142	8	male	closed	3	two+	3	17
2048	109	9	male	closed	1	one	3	18
2049	91	10	male	closed	1	one	4	14
2050	216	1	female	open	3	one	7	15
2051	143	2	female	closed	2	one	8	16
2052	194	3	female	closed	3	one	6	14
2053	141	5	female	closed	2	one	5	16
2054	417	6	female	open	6	two+	15	6
2055	121	7	female	closed	3	two+	6	14
2056	131	8	female	closed	2	one	4	17
2057	173	1	female	open	3	two+	7	15
2058	71	2	female	closed	2	one	5	15
2059	179	4	female	closed	2	one	3	14
2060	128	5	female	closed	1	one	11	15
2061	207	6	female	closed	5	one	13	10
2062	112	7	female	closed	2	one	4	16
2063	224	10	female	closed	3	one	3	14
2064	88	1	female	open	3	one	7	15
2065	88	2	female	closed	2	one	4	17
2066	66	3	female	closed	1	one	1	17
2067	299	4	female	open	4	two+	7	14
2068	87	5	female	closed	2	one	6	17
2069	404	7	female	open	4	one	7	14
2070	315	8	female	open	3	two+	5	12
2071	159	9	female	closed	3	two+	6	17
2072	378	10	female	propname	4	two+	15	6
2073	179	1	male	open	3	two+	7	15
2074	209	2	male	closed	2	two+	6	15
2075	109	3	male	closed	3	two+	5	15
2076	69	4	male	closed	2	one	1	16
2077	293	5	male	open	4	one	14	6
2078	135	6	male	closed	3	one	3	14
2079	151	7	male	closed	3	one	6	16
2080	192	8	male	closed	2	one	5	15
2081	150	10	male	closed	3	two+	3	14
2082	205	2	male	closed	3	one	4	17
2083	58	3	male	closed	1	one	2	17
2084	176	4	male	closed	2	one	5	15
2085	207	6	male	closed	3	one	5	16
2086	125	9	male	closed	1	one	6	18
2087	270	10	male	open	4	two+	3	15
2088	160	2	female	closed	3	one	4	17
2089	71	4	female	closed	2	two+	2	16
2090	224	5	female	open	4	two+	13	11
2091	205	6	female	closed	3	one	9	14
2092	77	1	male	open	3	two+	7	15
2093	36	3	male	closed	1	one	2	17
2094	320	4	male	open	3	two+	15	7
2095	57	8	male	closed	2	one	5	16
2096	311	10	male	open	3	two+	15	8
2097	126	2	female	closed	2	two+	5	16
2098	199	3	female	closed	2	two+	3	16
2099	283	5	female	closed	3	one	7	15
2100	132	9	female	closed	2	one	9	18
2101	684	10	female	open	9	two+	18	3
2102	102	1	female	open	3	two+	7	15
2103	98	2	female	closed	2	one	5	16
2104	91	3	female	closed	1	one	2	15
2105	290	4	female	open	5	two+	6	12
2106	107	5	female	closed	2	two+	5	17
2107	82	6	female	closed	2	two+	3	18
2108	216	7	female	open	3	two+	7	15
2109	428	8	female	open	8	two+	13	8
2110	89	9	female	closed	2	two+	8	16
2111	200	1	female	open	3	two+	7	15
2112	166	2	female	closed	3	one	6	15
2113	138	3	female	closed	2	two+	2	16
2114	236	5	female	closed	1	one	2	18
2115	185	7	female	closed	3	one	9	14
2116	196	8	female	closed	2	one	3	16
2117	129	9	female	open	2	one	6	14
2118	357	10	female	closed	2	one	4	14
2119	113	1	male	open	3	two+	7	15
2120	191	2	male	closed	2	one	7	13
2121	84	3	male	closed	1	one	5	15
2122	278	5	male	open	4	two+	12	10
2123	55	6	male	closed	2	two+	0	17
2124	146	7	male	closed	3	one	5	16
2125	82	8	male	closed	1	one	3	17
2126	212	9	male	open	6	two+	11	10
2127	469	10	male	open	6	two+	8	5
2128	245	1	male	open	3	two+	7	15
2129	57	2	male	closed	2	one	4	18
2130	24	3	male	closed	1	one	4	15
2131	98	4	male	open	3	two+	1	15
2132	112	5	male	closed	2	two+	3	11
2133	115	7	male	closed	2	one	4	17
2134	114	8	male	closed	3	two+	10	16
2135	79	9	male	closed	2	one	3	16
2136	209	10	male	closed	2	one	4	18
2137	254	1	male	open	3	two+	7	15
2138	177	2	male	closed	2	two+	4	18
2139	189	3	male	open	3	two+	6	15
2140	263	4	male	open	2	two+	7	16
2141	126	5	male	closed	2	two+	6	17
2142	130	6	male	closed	2	one	2	18
2143	319	7	male	open	3	two+	6	12
2144	116	8	male	closed	3	one	8	15
2145	140	9	male	closed	2	one	1	16
2146	179	10	male	closed	2	one	4	18
2147	233	2	female	closed	4	one	5	12
2148	200	4	female	closed	3	one	4	17
2149	115	5	female	closed	2	two+	4	18
2150	346	6	female	number	5	one	7	12
2151	385	7	female	open	5	two+	6	12
2152	302	9	female	open	6	two+	15	7
2153	139	1	female	closed	2	one	8	14
2154	164	2	female	closed	2	one	5	16
2155	84	3	female	closed	3	one	7	13
2156	617	4	female	open	14	two+	13	2
2157	348	5	female	open	5	two+	2	7
2158	302	6	female	open	2	two+	5	16
2159	257	8	female	open	3	two+	5	14
2160	142	9	female	closed	1	one	7	15
2161	148	10	female	closed	3	two+	5	16
2162	122	2	female	closed	1	one	3	17
2163	173	3	female	propname	3	one	15	8
2164	191	4	female	closed	3	one	4	17
2165	314	6	female	closed	5	one	6	12
2166	298	7	female	open	4	two+	10	7
2167	89	2	male	closed	1	one	3	17
2168	191	3	male	closed	3	one	5	17
2169	246	4	male	open	4	two+	9	13
2170	134	7	male	closed	3	one	5	17
2171	159	8	male	open	4	two+	9	13
2172	303	9	male	open	4	two+	9	8
2173	238	1	female	closed	3	two+	7	16
2174	31	2	female	closed	1	one	3	17
2175	93	3	female	closed	2	one	4	18
2176	260	4	female	number	4	one	6	13
2177	130	5	female	closed	3	two+	4	15
2178	145	7	female	closed	3	one	5	15
2179	187	8	female	open	3	two+	7	11
2180	172	9	female	open	3	two+	11	10
2181	262	10	female	propname	3	two+	10	7
2182	119	1	female	closed	3	two+	7	16
2183	71	2	female	closed	1	one	3	17
2184	104	3	female	closed	2	one	4	18
2185	105	5	female	closed	2	one	6	18
2186	113	6	female	closed	3	two+	4	15
2187	140	7	female	open	3	two+	13	7
2188	237	10	female	open	3	two+	7	15
2189	136	1	female	closed	3	one	7	16
2190	249	3	female	closed	2	one	10	13
2191	137	5	female	closed	2	one	8	15
2192	197	6	female	open	4	one	9	14
2193	68	7	female	closed	2	two+	0	17
2194	126	8	female	open	2	one	4	14
2195	361	9	female	open	6	one	10	11
2196	186	10	female	open	3	two+	5	15
2197	196	1	male	closed	3	one	7	16
2198	234	4	male	open	3	two+	7	14
2199	69	5	male	closed	3	two+	6	16
2200	176	7	male	closed	3	one	7	13
2201	121	8	male	closed	2	one	5	16
2202	212	9	male	closed	4	two+	8	15
2203	242	10	male	propname	5	one	13	4
2204	155	1	female	closed	3	one	7	16
2205	104	2	female	closed	2	two+	4	16
2206	113	3	female	closed	2	one	3	17
2207	132	4	female	closed	3	one	7	17
2208	108	5	female	closed	2	one	4	18
2209	88	6	female	closed	2	one	4	16
2210	85	7	female	closed	2	one	1	16
2211	160	8	female	open	3	two+	5	15
2212	334	9	female	closed	4	one	9	15
2213	135	10	female	closed	2	one	7	13
2214	119	1	male	closed	3	one	8	14
2215	139	4	male	closed	3	one	4	14
2216	84	7	male	closed	2	two+	1	17
2217	118	9	male	closed	2	one	3	18
2218	362	10	male	open	3	two+	10	10
2219	77	1	female	closed	3	two+	8	14
2220	164	2	female	closed	2	one	3	16
2221	142	3	female	open	3	two+	8	14
2222	208	4	female	closed	2	one	3	17
2223	175	5	female	closed	3	one	10	14
2224	132	6	female	closed	2	one	3	16
2225	201	7	female	open	3	two+	8	14
2226	125	8	female	closed	2	one	3	17
2227	304	10	female	number	4	one	9	13
2228	822	1	female	closed	2	one	6	16
2229	362	2	female	open	5	two+	16	11
2230	538	3	female	open	5	two+	10	5
2231	166	4	female	closed	3	one	3	17
2232	356	5	female	open	4	two+	8	13
2233	148	6	female	closed	2	one	9	14
2234	189	8	female	open	4	two+	13	11
2235	178	9	female	closed	2	one	6	17
2236	323	2	female	open	3	two+	5	15
2237	47	4	female	closed	1	one	2	17
2238	171	6	female	open	2	two+	6	13
2239	190	7	female	closed	2	one	4	18
2240	152	8	female	open	3	one	7	13
2241	121	9	female	closed	2	one	1	15
2242	91	10	female	closed	2	one	5	17
2243	182	1	female	closed	2	one	6	16
2244	69	3	female	closed	2	one	4	18
2245	118	4	female	closed	2	one	4	16
2246	99	6	female	open	3	two+	8	13
2247	62	7	female	closed	2	one	1	15
2248	144	10	female	closed	3	one	2	17
2249	254	1	female	closed	2	two+	6	16
2250	150	2	female	closed	3	two+	9	14
2251	113	3	female	closed	2	one	2	18
2252	174	5	female	closed	3	one	4	14
2253	249	7	female	open	3	two+	11	11
2254	148	8	female	propname	3	one	11	8
2255	67	9	female	closed	1	one	3	17
2256	577	10	female	open	4	two+	15	7
2257	56	2	male	closed	1	one	4	18
